drugbank_id,mesh_id,relation,trial_phase,approval_status
DB00218,D004756,treats,,Approved
DB00218,D018784,treats,,Approved
DB00218,D010538,treats,,Approved
DB00218,D018410,treats,,Approved
DB00218,D012226,treats,,Approved
DB09205,D007172,treats,,Approved
DB09205,D011928,treats,,Approved
DB00410,D007169,treats,,Approved
DB00688,D006086,treats,,Approved
DB01024,D006086,treats,,Approved
DB12447,D000152,treats,,Approved
DB01203,D000787,treats,,Approved
DB12598,D003550,treats,,Approved
DB00666,D004715,treats,,Approved
DB00607,D013203,treats,,Approved
DB13588,D002561,treats,,Approved
DB00735,D014008,treats,,Approved
DB00844,D010146,treats,,Approved
DB00844,D048949,treats,,Approved
DB01183,D010146,treats,,Approved
DB00788,D018771,treats,,Approved
DB00788,D004412,treats,,Approved
DB00788,D020773,treats,,Approved
DB00788,D008881,treats,,Approved
DB00788,D005334,treats,,Approved
DB00788,D002062,treats,,Approved
DB00788,D063806,treats,,Approved
DB00788,D010146,treats,,Approved
